Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Subway Surfers,64870d70b3ae27253f16c069,Miniclip,65670b56ad4adb650837a435,2025-12-15,Unified,Games,3365747,-366330,-0.098157,72456.73,-9827.6,-0.119435,21216657.0,412669.0,0.019836,Arcade,Platformer / Runner,2012/05/24,251167920,2666580450,$68523894,$133570527,Inactive (< last 28 Days)
Paper.io 2,5b6af0a62ba45d4cc3be4963,Voodoo,59bad4eb63f2dc0d0b9689e1,2025-12-15,Unified,Games,2759722,684626,0.329925,34511.34,6992.57,0.254102,5469673.0,304121.0,0.058875,Arcade,.io,2018/08/09,78047904,537187664,$2797514,$5555325,Active
Snake Clash!,648dbb4f8bab0357537613f8,Supercent,60c922dc49b48258e3a558c8,2025-12-15,Unified,Games,2324147,338532,0.170492,31967.93,6465.96,0.253547,3918718.0,200013.0,0.053786,Arcade,.io,2023/05/24,18176978,191911520,$878508,$2797192,Active
Hole.io,5b08105695a243116dc61488,Voodoo,59bad4eb63f2dc0d0b9689e1,2025-12-15,Unified,Games,2264654,74984,0.034244,72121.77,4035.95,0.059277,2816142.0,161918.0,0.061004,Arcade,Other Arcade,2018/05/27,82192596,511901632,$4259114,$7665003,Active
Stickman Party 234 MiniGames,5c98137c00737a75fcc92b8c,PlayMax Game Studio,621fbecdf34924607ea1c47e,2025-12-15,Unified,Games,1706992,121869,0.076883,1244.58,-202.88,-0.140163,4977660.0,227427.0,0.047877,Arcade,Mini-game Hub,2019/03/23,5630488,440262888,$34453,$368460,
Geometry Dash Lite,55d20e4602ac64ee7300028a,RobTop Games,5614c75f3f07e25d2900b40a,2025-12-15,Unified,Games,1660870,62677,0.039217,254500.2,17917.5,0.075735,9575112.0,881883.0,0.101445,Arcade,Platformer / Runner,2013/08/12,110266665,690274461,$17150142,$36476962,Active
Snake.io - Fun Snake .io Games,5711e92902ac6453cd000012,Kooapps,5614d6af3f07e25d29015bd3,2025-12-15,Unified,Games,1394275,45078,0.033411,11018.11,2433.76,0.283511,2631775.0,-82280.0,-0.030316,Arcade,.io,2016/04/14,37150215,419652629,$299802,$1555163,Active
Granny,5a18d5f229d4060c79391488,DVloper,56294aeb3f07e236f90266f2,2025-12-15,Unified,Games,1367344,40905,0.030838,1.75,-0.95,-0.351852,1760671.0,-11404.0,-0.006435,Puzzle,Environmental,2017/11/24,45524900,541234136,$18531,$83155,
Mob Control,60913111fdef5825277f7ba6,Voodoo,59bad4eb63f2dc0d0b9689e1,2025-12-15,Unified,Games,1229432,165130,0.155153,443154.57,50174.39,0.127677,1659935.0,44044.0,0.027257,Strategy,Real-Time Strategy,2021/04/13,25794867,274335660,$41570188,$71764480,Active
Subway Princess Runner,59320ea7cda0a7416a0002f3,Ivy Mobile,5bc0f7179a22547cba413c2e,2025-12-15,Unified,Games,1208335,-179690,-0.129457,627.83,-94.38,-0.130682,2633889.0,70693.0,0.02758,Arcade,Platformer / Runner,2017/06/02,5817621,624874177,$47844,$352834,Inactive (< last 28 Days)
