Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
CrossFire: Legends,565ff9f502ac6459a0000035,Tencent,5614b2f53f07e2077c000059,2025-12-22,Unified,Games,1678697,-2386504,-0.587057,232472.05,12175.27,0.055268,841308.0,-153050.0,-0.153918,Shooter,FPS / 3PS,2025/12/09,0,8138765,$0,$1291641,New (< last 28 Days)
My Talking Angela 2,605beaf4200dbd6ee103c9f9,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2025-12-22,Unified,Games,1340225,43677,0.033687,31654.84,1534.0,0.050928,4820068.0,251556.0,0.055063,Lifestyle,Virtual Pet,2021/03/24,22426191,451801956,$2789569,$6621278,Inactive (< last 28 Days)
Avatar World,63984681301a127e33fe7274,Pazu Games,5614c1493f07e25d29005610,2025-12-22,Unified,Games,1316228,73989,0.059561,476171.57,143181.89,0.429989,10425950.0,1006746.0,0.106882,Lifestyle,Customization,2022/12/09,14499150,219139374,$9991076,$31655622,
My Talking Tom Friends,5e4603dd3ecf804a9eb0fcf4,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2025-12-22,Unified,Games,1208409,-23725,-0.019255,16204.49,2108.73,0.1496,3610400.0,40529.0,0.011353,Lifestyle,Virtual Pet,2020/02/13,27602069,673896600,$2524071,$6543551,Inactive (< last 28 Days)
Cat Runner: Decorate Home,59fd348343ddd73cd3c85868,Ivy Mobile,5bc0f7179a22547cba413c2e,2025-12-22,Unified,Games,1004810,274709,0.376262,241.58,-34.33,-0.124425,1539328.0,144175.0,0.10334,Arcade,Platformer / Runner,2017/11/03,4829710,346913568,$5518,$165274,
I Am Monkey,68e9ae40c9038fd5d0be8652,Estoty,560c7a348ac350643902e205,2025-12-22,Unified,Games,990909,225225,0.294149,3882.92,-484.88,-0.111012,332587.0,36620.0,0.12373,Action,Action Sandbox,2025/10/31,2224198,14164480,$11280,$47485,Active
Woodturning,5dfe738a27d3056684fa79b7,Voodoo,59bad4eb63f2dc0d0b9689e1,2025-12-22,Unified,Games,955034,17764,0.018953,3571.41,743.78,0.26304,630470.0,59289.0,0.103801,Simulation,Simulator,2019/12/20,30338887,254059908,$162403,$394182,Inactive (< last 28 Days)
My Talking Tom Friends 2,67a25d1a1525cfb904f6101c,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2025-12-22,Unified,Games,835950,87238,0.116517,5457.59,-634.09,-0.104091,1356013.0,84540.0,0.06649,Lifestyle,Virtual Pet,2025/02/04,1701650,45462460,$11713,$85724,Active
"Minecraft: Dream it, Build it!",55c5020a02ac64f9c0001f62,Microsoft,5628910002ac648b28002389,2025-12-22,Unified,Games,786623,111238,0.164703,3793824.11,1307290.79,0.525748,4236523.0,516710.0,0.138908,Simulation,Sandbox,2011/08/15,41622761,424210800,$588329496,$1220647776,Active
Fashion Queen: Dress Up Game,639d16142b074e0c7f331b81,Azur Interactive Games,592cc9f811f9436cc900106f,2025-12-22,Unified,Games,767441,162278,0.268156,477.02,119.47,0.334135,1655746.0,78286.0,0.049628,Lifestyle,Customization,2023/03/02,3883810,70737357,$0,$24572,Inactive (< last 28 Days)
