Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Vita Mahjong,656ab40b40beda73acd1f0c4,Vita Studio,6459b09cfbea7c79994f1aba,2026-01-05,Unified,Games,4176314,487441,0.132138,34160.88,-2758.92,-0.074727,8753481.0,107699.0,0.012457,Puzzle,Match Pair,2023/12/01,25678811,190158672,$807445,$1587962,Active
Ludo King,58560c3c3e9f537010000227,Gametion,55f895f48ac350426b044aa8,2026-01-05,Unified,Games,3300446,-152306,-0.044111,60084.78,-120.36,-0.001999,8775664.0,-1040277.0,-0.105978,Tabletop,Board,2016/02/20,9141439,1341017896,$1394845,$15262151,Inactive (< last 28 Days)
Mahjong - Royal Tiles,685cc42382f7e9467051476b,Nebula Studio,67b47d5327e2c1851797ba24,2026-01-05,Unified,Games,2397122,-942382,-0.282192,0.0,0.0,,1412484.0,-74233.0,-0.049931,Puzzle,Match Pair,2025/06/23,2130407,24654174,$0,$0,Active
8 Ball Pool,6478d3edb3ae272847ad30f8,Miniclip,65670b56ad4adb650837a435,2026-01-05,Unified,Games,2337893,210519,0.098957,1310380.44,-67566.19,-0.049034,8254885.0,-560177.0,-0.063548,Sports,Realistic Sports,2013/01/23,160258696,1352529856,$409889440,$859654688,Active
Rope Escape Master,68dddcbcd5a13bf88e7ea584,PoseidonJoy,67cf3d9d432fae4314163f4f,2026-01-05,Unified,Games,1931493,611317,0.463057,24002.66,12347.7,1.059437,350445.0,125658.0,0.559009,Puzzle,Sort,2025/09/30,590901,6908570,$40132,$121694,Active
Happy Color: Coloring Book,5a695569a3f5793ecc279a5f,X-Flow,5b2ab3e1b8d1243541e08991,2026-01-05,Unified,Games,1277611,-324774,-0.202682,24328.1,-4965.26,-0.169501,5439137.0,-145324.0,-0.026023,Tabletop,Drawing & Coloring,2018/01/24,58124234,368289856,$4463558,$7161188,Active
Color by Number：Coloring Games,5a2a2d2a0211a661076c129a,Wildlife Studios,5614e08d3f07e25d2901b7e7,2026-01-05,Unified,Games,1003292,-379167,-0.27427,281701.02,3105.83,0.011148,980219.0,-123968.0,-0.112271,Tabletop,Drawing & Coloring,2017/12/06,41663220,173039008,$58934787,$97933872,Active
Art Puzzle - Jigsaw Art Games,5f56df81fdad6c478da03f37,Miniclip,65670b56ad4adb650837a435,2026-01-05,Unified,Games,864614,-49450,-0.054099,6609.89,-984.7,-0.129658,1490683.0,-21408.0,-0.014158,Puzzle,Jigsaw,2020/09/07,13522362,157064718,$230961,$617677,Active
Tic Tac Toe 2 Player: XO Game,62ccc97e2835a4088252e32f,Onetap Global,66e49e03ef947792202cd239,2026-01-05,Unified,Games,855867,-192845,-0.183887,0.0,0.0,,1573887.0,-115049.0,-0.068119,Puzzle,Other Puzzle,2022/07/26,2270988,122880208,$0,$0,Active
Ludo Supreme Gold King - Zupee,64df45f8e45a4e29e41b470b,Zupee (Cashgrail Private Limited),66f7ded621ae9d804a507688,2026-01-05,Unified,Games,838564,108022,0.147866,35.61,11.62,0.484368,782133.0,90999.0,0.131666,Tabletop,Board,2020/05/05,0,129016261,$0,$341,Active
