Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Roblox,55d3a1a802ac64350a000d6e,Roblox,560c44d98ac3506439005015,2026-01-05,Unified,Games,6839631,-772029,-0.101427,11820622.67,-4370307.05,-0.269923,147980367.0,-19919362.0,-0.118638,Simulation,Sandbox,2011/05/26,245897216,1646643741,$3613496384,$6830848303,Active
Pizza Ready!,64a8e532a930d8478994719b,Supercent,60c922dc49b48258e3a558c8,2026-01-05,Unified,Games,5035073,-604591,-0.107203,51624.45,-6022.15,-0.104467,4296059.0,-506993.0,-0.105556,Simulation,Idler,2023/07/04,21324533,420083576,$2759329,$6366903,Active
心动小镇,6642839b70541dbb64f131be,XD,5a054b857ce97d1af1f9b243,2026-01-05,Unified,Games,3099816,3099816,,942824.88,942824.88,,,,,Simulation,Avatar Life,2025/12/24,1509636,10983246,$1014015,$5664080,New (< last 28 Days)
School Party Craft,5a767d97aee4ba0d1acf16b1,Candy Room Games,5dd841bbd4a1964828c297d0,2026-01-05,Unified,Games,2868493,84671,0.030415,0.0,0.0,,3947374.0,-506621.0,-0.113745,Action,Action Sandbox,2018/02/02,7115584,265259425,$0,$0,Active
My Talking Tom 2: Pet Game,5baf22e7c5ca6119e0e7f792,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-05,Unified,Games,2266361,128900,0.060305,27755.99,-1535.84,-0.052432,6491551.0,-146890.0,-0.022127,Lifestyle,Virtual Pet,2018/09/28,49909048,994296192,$5387272,$15136868,Inactive (< last 28 Days)
Snake Clash!,648dbb4f8bab0357537613f8,Supercent,60c922dc49b48258e3a558c8,2026-01-05,Unified,Games,1876235,-758385,-0.287854,33591.16,-6935.7,-0.171138,4059157.0,-786215.0,-0.162261,Arcade,.io,2023/05/24,18311439,193371752,$887334,$2828258,Active
My Talking Tom Friends,5e4603dd3ecf804a9eb0fcf4,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-05,Unified,Games,1763753,210231,0.135325,17330.86,1205.92,0.074786,3748090.0,36123.0,0.009731,Lifestyle,Virtual Pet,2020/02/13,27648873,675819268,$2528542,$6557795,Inactive (< last 28 Days)
2 3 4 Player Mini Games,5a7eb8b5b042f428fee15a9d,Better World Games,59c9b6c6f2f9fd12c5fbcdb3,2026-01-05,Unified,Games,1604636,-71375,-0.042586,0.0,0.0,,3934402.0,-632980.0,-0.138587,Arcade,Mini-game Hub,2017/10/07,7296516,409634068,$0,$0,
My Talking Angela 2,605beaf4200dbd6ee103c9f9,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-05,Unified,Games,1598422,-157515,-0.089704,29338.75,-2984.36,-0.092329,4642624.0,-379004.0,-0.075474,Lifestyle,Virtual Pet,2021/03/24,22475188,453120248,$2798083,$6648305,Inactive (< last 28 Days)
Block Crazy Robo World Craft,6772106754c4e90ecd70877e,Prokids Studio,5f651499f9513b60a35de56c,2026-01-05,Unified,Games,1530985,-533336,-0.258359,0.0,0.0,,2092062.0,-416002.0,-0.165866,Simulation,Sandbox,2025/03/16,603503,46253672,$0,$0,New (< last 28 Days)
My Sticker Room - Decor Game,67e7e84c30e9aff0c9cc82c7,SayGames,5bb5a48345f4430ad72c6f04,2026-01-05,Unified,Games,1512186,-511878,-0.252896,10523.1,-2221.56,-0.174313,831164.0,-97093.0,-0.104597,Lifestyle,Customization,2025/03/27,1526072,23018540,$48859,$204492,Active
Whiteout Survival,638ee532480da915a62f0b34,Century Games,620d3b8db3ae27635539cde2,2026-01-05,Unified,Games,1466814,-304640,-0.171972,16516160.6,-6729474.34,-0.289494,3236249.0,-176478.0,-0.051712,Strategy,4X Strategy,2022/12/02,29076294,162273312,$803859600,$2394604032,Active
Kingshot,67bb93ed47b43a18952ffdfc,Century Games,620d3b8db3ae27635539cde2,2026-01-05,Unified,Games,1379828,-535147,-0.279454,14164356.11,-7857761.51,-0.356812,1988731.0,-74168.0,-0.035953,Strategy,4X Strategy,2025/02/22,11498737,65582788,$253458864,$595999328,Active
Annoying Uncle Punch Game,66af0cf3717b3b0df1431187,Game District,60051acb5a46f02443bb6e4d,2026-01-05,Unified,Games,1359706,-20117,-0.014579,189.94,-121.24,-0.389614,1959153.0,-115149.0,-0.055512,Arcade,Arcade Combat,2024/08/14,4544573,83867376,$0,$5615,Active
Lamar - Idle Vlogger,5f7996fb5fa4965cee299763,Embracer Group,560494718ac35017220101d4,2026-01-05,Unified,Games,1349034,-180666,-0.118106,74781.18,-16951.56,-0.184793,853294.0,105054.0,0.140401,Simulation,Idler,2020/10/02,8969331,101688212,$2006484,$4278469,Active
TheoTown,55de05b302ac6453fd065f88,blueflower,599dc9d458fe426ab6e07cc7,2026-01-05,Unified,Games,1337500,1265248,17.511598,7316.74,1801.24,0.326578,656228.0,410441.0,1.669905,Simulation,Tycoon / Crafting,2015/04/11,1601765,23940629,$272395,$1309077,
Block Craft 3D：Building Game,55d93fcd02ac645ad2145b52,Wildlife Studios,5614e08d3f07e25d2901b7e7,2026-01-05,Unified,Games,1307689,-42250,-0.031298,16223.27,-1808.13,-0.100277,1709011.0,-143376.0,-0.077401,Simulation,Sandbox,2015/07/11,45497506,582048168,$8568897,$18939051,Inactive (< last 28 Days)
Indian Bikes Driving 3D,5fed627075acce77429cbe49,Rohit Gaming Studio,5f0f58e95c5339480cd89987,2026-01-05,Unified,Games,1276620,60064,0.049372,0.0,0.0,,3237315.0,-488362.0,-0.13108,Action,Action Sandbox,2020/12/28,968143,302262752,$0,$0,
My Talking Tom,55c50d1002ac64f9c0002379,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-05,Unified,Games,1161639,-361880,-0.237529,9453.35,-2027.58,-0.176604,2867547.0,-4106.0,-0.00143,Lifestyle,Virtual Pet,2013/11/11,79305336,1253409152,$7726395,$24085886,Active
Kick & Break The Ragdoll Games,6593735e7a6a1916879bda5d,Game District,60051acb5a46f02443bb6e4d,2026-01-05,Unified,Games,1098610,63162,0.061,0.0,0.0,,2273457.0,36385.0,0.016265,Arcade,Arcade Combat,2024/01/14,2794599,77982376,$418,$1632,Inactive (< last 28 Days)
My Talking Tom Friends 2,67a25d1a1525cfb904f6101c,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-05,Unified,Games,1083327,70510,0.069618,3937.13,-513.85,-0.115446,1207268.0,-12131.0,-0.009948,Lifestyle,Virtual Pet,2025/02/04,1726167,46125429,$12043,$88799,Active
My Supermarket Simulator 3D®,665e82ed0296fd9b4b4ad23b,Game District,60051acb5a46f02443bb6e4d,2026-01-05,Unified,Games,1073791,-369471,-0.255997,149082.24,-43163.03,-0.224521,1564683.0,-231402.0,-0.128837,Simulation,Simulator,2024/07/05,9395657,154749958,$4496161,$9988287,Active
My Perfect Hotel,6259ced9036276188a1d3a3d,SayGames,5bb5a48345f4430ad72c6f04,2026-01-05,Unified,Games,1061802,-101233,-0.087042,85034.67,-22222.79,-0.207191,1242264.0,-88626.0,-0.066592,Simulation,Idler,2022/03/30,29511296,262586256,$12976720,$22603611,Inactive (< last 28 Days)
Home Makeover: ASMR Game,663f0807cb85741f87a7c61f,Happy Giggles,5d73409e9ac3eb6e956b1823,2026-01-05,Unified,Games,1031626,31912,0.031921,711.14,-4.65,-0.006496,1926031.0,7699.0,0.004013,Simulation,Simulator,2024/05/19,1125338,61114863,$3340,$54289,Inactive (< last 28 Days)
