Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Vita Mahjong,656ab40b40beda73acd1f0c4,Vita Studio,6459b09cfbea7c79994f1aba,2026-01-12,Unified,Games,3583512,-592802,-0.141944,36496.51,2335.63,0.068371,9160761.0,407280.0,0.046528,Puzzle,Match Pair,2023/12/01,25526617,188375720,$801185,$1571900,Active
Last War:Survival,64075e77537c41636a8e1c58,FUNFLY,65e9a136ad4adb7f61fc0b8e,2026-01-12,Unified,Games,2842558,-561991,-0.165071,30565169.36,232298.04,0.007658,4275441.0,-67619.0,-0.015569,Strategy,4X Strategy,2023/06/08,26992656,179797780,$1100483264,$3037524095,Active
Last Z: Survival Shooter,658ea0be1fc48c4dbb3065e6,Florere Game,6736d19c146810f6057add10,2026-01-12,Unified,Games,1289242,-326152,-0.201902,14048352.68,1409247.38,0.111499,1792498.0,-88060.0,-0.046827,Strategy,4X Strategy,2023/12/22,5575168,50016648,$156979208,$378759628,Active
Disney Solitaire,674a32c22947b59eda621005,Playtika,5614c22f3f07e25d290063a9,2026-01-12,Unified,Games,1260184,304621,0.318787,3356342.2,40869.01,0.012327,1192621.0,142812.0,0.136036,Tabletop,Solitaire,2024/11/27,6978219,20472974,$60139588,$123199844,Active
UNO!,5a72671d0dc0bc69efd2cad4,Mattel163,5a72671d0dc0bc69efd2cad3,2026-01-12,Unified,Games,1209134,-212839,-0.149679,698600.73,40190.2,0.061041,1643008.0,-109883.0,-0.062687,Tabletop,Tabletop Cards,2018/04/09,55631714,391041936,$90869556,$174408932,Active
Jigsolitaire,67763322db0ee6a76f20dfb7,Gamincat,63374485a396804c23a527ad,2026-01-12,Unified,Games,1097200,-312966,-0.221936,0.0,0.0,,1805529.0,-105475.0,-0.055194,Puzzle,Jigsaw,2024/12/23,7312489,36834706,$0,$0,Inactive (< last 28 Days)
Pokémon TCG Pocket,66c292ff6bbfce0e306de36b,The Pokémon Company,561542d73f07e25d2903e682,2026-01-12,Unified,Games,459196,-65049,-0.124081,8886081.3,4303109.84,0.938934,8764632.0,-100678.0,-0.011356,Strategy,Card Battler,2024/08/21,18318376,97738288,$276646312,$1000408736,Active
Solitaire - Classic Card Games,6083789b6ac36078d7fe1a0d,Guru Puzzle Game,61dc87b7c64c2403403a4e61,2026-01-12,Unified,Games,382986,-13586,-0.034259,6649.26,-142.11,-0.020925,1427180.0,82885.0,0.061657,Tabletop,Solitaire,2021/04/25,10957393,72922341,$304618,$765740,Active
Double Money,6269f0e12707ba357a6748fa,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,379180,3603,0.009593,3878.43,237.3,0.065172,301483.0,8666.0,0.029595,Arcade,Other Arcade,2022/03/18,3714512,36011534,$14527,$216741,New (< last 28 Days)
Dark War:Survival,6573c39d5c3b423d5d04560f,Florere Game,6736d19c146810f6057add10,2026-01-12,Unified,Games,343113,-41349,-0.10755,5658714.96,557360.01,0.109257,394472.0,-8591.0,-0.021314,Strategy,4X Strategy,2023/11/29,5100921,41746972,$108854160,$312155710,Active
