Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Block Blast!,622390aa2e0fa027dbdc26b8,Hungry Studio,67f43cbca12e6eabea635546,2026-01-12,Unified,Games,6373755,-890264,-0.122558,24.54,12.84,1.097436,51644057.0,-387568.0,-0.007449,Puzzle,Block,2022/04/03,85334388,726463367,$0,$3716,Active
Tile Explorer - Triple Match,664831db335788e1f4f04311,Oakever Games,65dcc4c25d0a0d46ffa216a3,2026-01-12,Unified,Games,2969028,-307809,-0.093935,113696.49,17251.05,0.178868,6957061.0,307104.0,0.046181,Puzzle,Match Pair,2024/05/17,6223879,115233413,$1160819,$2439569,Active
Paper.io 2,5b6af0a62ba45d4cc3be4963,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,2632092,-618809,-0.19035,33953.44,-6922.28,-0.169349,5845748.0,77711.0,0.013473,Arcade,.io,2018/08/09,78160680,538308016,$2806077,$5573950,Active
Hole.io,5b08105695a243116dc61488,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,2561437,124484,0.051082,63558.85,2212.3,0.036062,2825405.0,-52970.0,-0.018403,Arcade,Other Arcade,2018/05/27,82289660,512862560,$4278295,$7697868,Active
My Talking Tom 2: Pet Game,5baf22e7c5ca6119e0e7f792,Outfit7 (Jinke Culture),5d3aa5f49cc0f85f968d0731,2026-01-12,Unified,Games,2473449,207088,0.091375,26850.45,-905.54,-0.032625,6128410.0,-363141.0,-0.055941,Lifestyle,Virtual Pet,2018/09/28,49885288,993421328,$5384675,$15125624,Inactive (< last 28 Days)
ColorBlock : Combo Blast,650c1c82b5746273f2aff851,Flyyes Technology,62fe907258c73f0c3ccc63e2,2026-01-12,Unified,Games,2449181,156569,0.068293,220.76,-11.14,-0.048038,900998.0,104413.0,0.131076,Puzzle,Block,2019/04/17,3835085,20171519,$0,$5244,Active
Mob Control,60913111fdef5825277f7ba6,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,2398174,489307,0.256334,437723.14,53405.96,0.138963,2310689.0,88552.0,0.03985,Strategy,Real-Time Strategy,2021/04/13,25835511,274935700,$41700480,$71977984,Active
Township,55c50ce502ac64f9c0002364,Playrix,5614b8de3f07e25d29001b9e,2026-01-12,Unified,Games,2260065,-130272,-0.054499,9858102.58,-393354.35,-0.038371,8762039.0,-222443.0,-0.024759,Simulation,Tycoon / Crafting,2013/06/22,84409400,661779376,$1394092992,$2635341824,Active
Gossip Harbor: Merge & Story,62997510bafac62d04f854a3,Microfun,55d8ea05a3f735178b006252,2026-01-12,Unified,Games,2157542,236294,0.12299,19472228.95,-1192276.29,-0.057697,8621631.0,242048.0,0.028885,Puzzle,Match Merge 2,2022/06/02,14510499,94491992,$393398432,$985725408,Active
Magic Tiles 3 - Piano Game,58b0e358907ffc0af900032d,Amanotes,5be2658f57ff1e0fd1685895,2026-01-12,Unified,Games,1962119,-172939,-0.081,152870.5,52.02,0.00034,2710493.0,-7687.0,-0.002828,Arcade,Music / Rhythm,2017/02/24,110556508,894273248,$23293269,$42812405,Inactive (< last 28 Days)
