Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
EA SPORTS FC Mobile Soccer,5e8694de25186e479bf4dd24,Electronic Arts,56289c8802ac6486a700139c,2026-01-12,Unified,Games,2621504,388664,0.174067,4735293.34,1434819.56,0.434731,20050561.0,2585410.0,0.148033,Sports,Realistic Sports,2016/08/31,43339698,782690833,$233073264,$1173880578,Active
Hole.io,5b08105695a243116dc61488,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,2561437,124484,0.051082,63558.85,2212.3,0.036062,2825405.0,-52970.0,-0.018403,Arcade,Other Arcade,2018/05/27,82289660,512862560,$4278295,$7697868,Active
8 Ball Pool,6478d3edb3ae272847ad30f8,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,2090245,-247648,-0.105928,1261745.73,-48634.71,-0.037115,8261790.0,6905.0,0.000836,Sports,Realistic Sports,2013/01/23,160201080,1351526048,$409633504,$859049568,Active
Football League 2026,632911503e8bd147cfaecd63,Mobile Soccer,632911503e8bd147cfaecd62,2026-01-12,Unified,Games,1958556,-4116108,-0.677586,1151.41,174.78,0.178962,6485790.0,126855.0,0.019949,Sports,Realistic Sports,2022/11/15,5734670,345312648,$5266,$99779,Active
Dream League Soccer 2026,5deffb27b9ab945359f1ee9b,First Touch Games,55f88a968ac350426b009d0c,2026-01-12,Unified,Games,1506052,-1083899,-0.418502,842895.02,-95961.54,-0.102211,9454372.0,-279458.0,-0.02871,Sports,Realistic Sports,2019/12/10,12056841,335015924,$31522946,$124674008,Active
Soccer Superstar,5f5aef3b86712b5600ee9c14,Real Freestyle Soccer,61745be112f7523f694c44ec,2026-01-12,Unified,Games,1378556,-113099,-0.075821,11914.65,-333.97,-0.027266,4692890.0,134155.0,0.029428,Sports,Realistic Sports,2020/09/28,21053512,433321032,$764194,$2103080,Active
eFootball,5852de110211a67ee4000313,Konami,560c84aa8ac3506439034e48,2026-01-12,Unified,Games,1194741,-91515,-0.071148,8491533.55,-2702824.85,-0.241445,14434482.0,-251335.0,-0.017114,Sports,Realistic Sports,2016/12/14,13224686,299863168,$72259584,$1467141152,Active
Cricket League,614d53b2db37fc24085e99b3,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,1071401,182139,0.20482,37949.14,9386.67,0.328636,2825751.0,-41509.0,-0.014477,Sports,Realistic Sports,2021/09/23,1136788,206871985,$1463263,$10011498,Active
Carrom Pool: Disc Game,5bea9a0c4f1f0d172f488e37,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,952586,-145262,-0.132315,27214.11,-1148.12,-0.040481,3884541.0,19367.0,0.005011,Tabletop,Board,2018/11/12,3554974,559809979,$699022,$13328145,Active
Head Ball 2 - Online Soccer,59de724236c8a9163bea595a,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,936160,-66784,-0.066588,121402.28,12887.71,0.118765,1044189.0,-32139.0,-0.02986,Sports,Arcade Sports,2017/10/09,15290545,249676976,$8990129,$64793758,Active
Asphalt 8,55c502e802ac64f9c0001fed,Gameloft,5614b3033f07e2077c0001a7,2026-01-12,Unified,Games,892223,212585,0.312792,21464.33,-1710.09,-0.073792,717961.0,28741.0,0.041701,Racing,Arcade Racing,2013/08/20,45029896,652596464,$25198193,$98664260,
Pooking - Billiards City,59efdb4fc589595488a32754,Mountain Game,591a51483c66135428000813,2026-01-12,Unified,Games,534049,-24494,-0.043853,118.34,-21.86,-0.15592,1568985.0,36604.0,0.023887,Sports,Arcade Sports,2017/05/15,13283609,505384684,$5035,$38444,Inactive (< last 28 Days)
Real Cricket 24,62999c59b30afc3fee9f2627,Krafton,572974e70211a6bd33000076,2026-01-12,Unified,Games,497506,17637,0.036754,26070.33,3639.46,0.162252,1613670.0,31484.0,0.019899,Sports,Realistic Sports,2022/08/10,498145,55497330,$195119,$3243198,New (< last 28 Days)
Football Strike: Online Soccer,5951f949da982c604d00506b,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,487183,181690,0.594744,37169.72,3002.41,0.087874,676809.0,2636.0,0.00391,Sports,Arcade Sports,2017/06/26,13419866,303326318,$8170783,$39478406,Active
Crazy Kick! Fun Football game,5d152793b2a8d16fb5dc109e,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,417516,-66030,-0.136554,1902.3,-62.71,-0.031913,330809.0,-33059.0,-0.090854,Sports,Arcade Sports,2019/06/28,22681162,140362400,$150992,$393891,Active
Tennis Clash：Sports Stars Game,5cb9b9223ea98344e0401fcf,Wildlife Studios,5614e08d3f07e25d2901b7e7,2026-01-12,Unified,Games,400717,136361,0.515823,405902.2,113283.49,0.387137,855498.0,18002.0,0.021495,Sports,Arcade Sports,2019/04/19,13343050,193477632,$36764051,$144324152,Active
Archery Clash!,65c10688a3c10e7e5fce4c64,Voodoo,59bad4eb63f2dc0d0b9689e1,2026-01-12,Unified,Games,395950,-29469,-0.069271,24843.29,-176.99,-0.007074,1846688.0,-53118.0,-0.02796,Sports,Arcade Sports,2023/08/08,6419850,67279290,$1767216,$3508413,Active
Score! Hero,55d9411102ac645ad21832df,First Touch Games,55f88a968ac350426b009d0c,2026-01-12,Unified,Games,371344,-75551,-0.169058,45574.76,-3249.89,-0.066562,959529.0,-2811.0,-0.002921,Sports,Arcade Sports,2015/05/20,12243366,322954280,$7178150,$40650858,Active
Boss Fight,65cf9c2161608009f1b2b1c6,BoomBit,55fcb3aa8ac350db5503cfe1,2026-01-12,Unified,Games,343445,-58026,-0.144533,1966.79,-227.52,-0.103686,2525818.0,15460.0,0.006158,Sports,Arcade Sports,2024/02/15,1659990,18644517,$57288,$151719,Active
Goal Battle - PvP Soccer Game,65ddfe3f13bb8058b9500775,MAGE Games,662a563c440f4b66a58c29c7,2026-01-12,Unified,Games,322467,-115723,-0.264093,113488.07,-233.16,-0.00205,326258.0,-32715.0,-0.091135,Sports,Arcade Sports,2024/02/11,503912,9211772,$517772,$2721347,Active
Moto Bike Stunt Wheelie Game,690ec49af20c5f6096b2f8fc,Game Town,6226f683b969ea590b27d76a,2026-01-12,Unified,Games,320425,320425,,26.36,26.36,,,,,Arcade,Arcade Driving,2026/01/15,12920,1298346,$0,$50,
Super Goal: Fun Soccer Game,61444433abfbae34e025aee6,Gamegou,561eb368dc0be599a1000114,2026-01-12,Unified,Games,301410,82951,0.37971,731.69,-228.02,-0.237593,416193.0,-7398.0,-0.017465,Sports,Arcade Sports,2021/11/30,5433262,91744425,$41564,$288407,Active
Top Eleven Be a Soccer Manager,53782cb5830f78a33a00003d,Take-Two Interactive,5614b32f3f07e2077c000488,2026-01-12,Unified,Games,267935,-112098,-0.294969,1164837.34,-264216.38,-0.184889,1293280.0,-42669.0,-0.031939,Sports,Sports Manager,2011/10/19,5913208,182469864,$33740101,$492801344,Active
Racing Master,646a8c0a1d7ec32ff4a5bd0c,NetEase,560c44888ac35064390048b9,2026-01-12,Unified,Games,260499,113530,0.772476,484365.86,-180203.69,-0.271159,297801.0,47384.0,0.18922,Racing,Realistic Racing,2023/10/12,0,10200787,$0,$105658892,Inactive (< last 28 Days)
Kite Flying India VS Pakistan,5b06602adefd0067e597c4b8,Maiworm Digital Strategy,5629563d3f07e28dd10226ed,2026-01-12,Unified,Games,244965,20864,0.093101,0.0,0.0,,291592.0,-360.0,-0.001233,Sports,Arcade Sports,2018/07/07,55749,46627578,$0,$0,
Mini Football - Soccer Games,5f233c9ae9bbdb01538c8eda,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,234009,46036,0.244908,82151.37,17841.43,0.277429,231712.0,-7248.0,-0.030331,Sports,Arcade Sports,2020/07/30,5461869,87999840,$7554244,$31175896,Active
Betano - Apostas e Casino,6087f6a1b24b5338ff0214e4,Kaizen Gaming,5714087d02ac64c04e000030,2026-01-12,Unified,Sports,233484,-568,-0.002427,0.0,0.0,,1389157.0,58748.0,0.044158,,,2016/05/25,0,15424979,$0,$0,Active
Basket Battle,626cdd79b3ae2747cdbf56db,ironSource,55f8912b8ac350426b02ddcf,2026-01-12,Unified,Games,232783,-40830,-0.149225,289.73,-10.38,-0.034587,423684.0,-36334.0,-0.078984,Sports,Arcade Sports,2022/04/25,9373344,78392605,$11119,$54315,Inactive (< last 28 Days)
Darts Club: PvP Multiplayer,5b337967608211779525c175,BoomBit,55fcb3aa8ac350db5503cfe1,2026-01-12,Unified,Games,226681,-111350,-0.329408,69775.19,-2380.8,-0.032995,240487.0,-32086.0,-0.117715,Sports,Realistic Sports,2018/08/12,5323549,32373264,$4487922,$9805912,Active
Pro League Soccer,609a5d0e863b79399493aea6,Rasu Games,582a5e63d8572e3cc800015f,2026-01-12,Unified,Games,220865,-10963,-0.047289,0.0,0.0,,523483.0,9973.0,0.019421,Sports,Realistic Sports,2021/05/08,1361848,98115349,$0,$0,
Car Driving School Simulator,58f826c40211a61bee00003a,BoomBit,55fcb3aa8ac350db5503cfe1,2026-01-12,Unified,Games,214373,-8522,-0.038233,3358.5,-403.72,-0.107309,178440.0,-22134.0,-0.110353,Simulation,Driving / Flight Simulator,2017/04/14,9713038,77806312,$355233,$1382224,Active
CSR 2 - Realistic Drag Racing,564de76e60f6f121ca0006ee,Take-Two Interactive,5614b32f3f07e2077c000488,2026-01-12,Unified,Games,213470,4026,0.019222,541488.75,59899.52,0.124379,273656.0,-28506.0,-0.09434,Racing,Drag Racing,2015/09/16,43188302,157158472,$318513400,$550262368,Active
Football Dream: Be A Pro,687bf2a7c2e08cd2cb870ec9,eStar Play,67c1259c8a1a060952393042,2026-01-12,Unified,Games,211279,-104259,-0.330417,17495.8,-4858.79,-0.217351,352127.0,-9975.0,-0.027547,Sports,Realistic Sports,2025/10/01,0,6628835,$0,$252123,Active
Online Soccer Manager (OSM),53783491830f782dbe0001e5,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,210993,5472,0.026625,190446.49,18470.96,0.107405,1241433.0,7991.0,0.006479,Sports,Sports Manager,2010/11/06,1969381,90745368,$3419743,$84611484,Active
Shooting Ball,5dd5f6f83bc90d2281b9e4ee,7788's,5a800131ae5e6d0e97551fbd,2026-01-12,Unified,Games,201769,-26808,-0.117282,234.22,-18.95,-0.074851,429361.0,-46357.0,-0.097446,Sports,Realistic Sports,2019/11/16,5476796,137334192,$8370,$46540,Active
Ultimate Football Manager,673c0ae472f4c26836a99529,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,191830,46359,0.318682,44437.84,-4059.56,-0.083707,119512.0,20610.0,0.208388,Sports,Sports Manager,2024/11/18,85340,3379996,$132237,$1605683,Active
Real Boxing 2,55fbdc3702ac64e83600007d,Vivid Games,560c44958ac350643900499f,2026-01-12,Unified,Games,190977,-22412,-0.105029,19318.31,-187.63,-0.009619,79469.0,-11044.0,-0.122016,Sports,Realistic Sports,2015/09/16,13930386,74736704,$5783600,$10545189,Active
World Of Carrom :3D Board Game,5f85fedcec1eca26da602dee,AppOn,55f892608ac350426b032b1f,2026-01-12,Unified,Games,189945,3855,0.020716,77.6,19.44,0.33425,158066.0,4672.0,0.030458,Tabletop,Board,2020/12/16,85672,58544625,$1939,$13281,
Fishing Clash: Sport Simulator,5723ece3e904be09420011fd,Ten Square Games,5615013c3f07e25d29027740,2026-01-12,Unified,Games,184793,18932,0.114144,375177.59,-6234.31,-0.016345,330749.0,-4482.0,-0.01337,Sports,Realistic Sports,2016/04/28,16025635,149167138,$147833272,$387728720,Active
Mini Soccer Star - 2024 MLS,6279e87a65a7f26a21e1fff9,Viva Games Studios,600337b41ace5f177bb1288e,2026-01-12,Unified,Games,181767,16316,0.098615,11008.26,-391.78,-0.034367,818272.0,52234.0,0.068187,Sports,Arcade Sports,2022/05/21,1895328,43382392,$314716,$1611286,Active
eFootball CHAMPION SQUADS,59f6a5e441bf253330f9bc36,Konami,560c84aa8ac3506439034e48,2026-01-12,Unified,Games,175718,-9788,-0.052764,340317.13,-68940.41,-0.168452,160351.0,-2206.0,-0.013571,Sports,Sports Manager,2017/10/29,761316,41043256,$2394559,$218945056,Inactive (< last 28 Days)
GT Bike Racing: Moto Bike Game,57622c94e7d879102500039a,Gamexis,5bbb4240a696632ee5d7d341,2026-01-12,Unified,Games,172196,46791,0.373119,438.44,-208.17,-0.321941,103926.0,44715.0,0.755181,Arcade,Arcade Driving,2016/06/15,704701,54081919,$7806,$31938,Active
VolleyBall King,6785f6f079055f0e053f033d,Mobirix,5614e2763f07e25d2901cb40,2026-01-12,Unified,Games,158424,14845,0.103393,343.7,57.18,0.199567,75099.0,-4510.0,-0.056652,Sports,Arcade Sports,2025/03/17,47666,5475395,$1126,$15634,
Monoposto,62a1553d4f32d1737cbe8235,Marco Pesce,62a1553d4f32d1737cbe8234,2026-01-12,Unified,Games,156551,-3230,-0.020215,6295.62,-1488.08,-0.191179,386631.0,-24256.0,-0.059033,Racing,Realistic Racing,2016/04/30,845106,32421284,$58640,$1109869,
Real Championship Cricket Game,676379366665b33764d5dd13,XPLAY STUDIO,676379356665b33764d5dd11,2026-01-12,Unified,Games,156207,52384,0.504551,42.91,5.49,0.146713,115238.0,17673.0,0.181141,Sports,Realistic Sports,2024/12/20,11240,5055549,$31,$1663,Inactive (< last 28 Days)
SMASH Badminton,6684a66d31fab6f8a65538b5,Smash Interactive,67f956c716a31e1f78c833ac,2026-01-12,Unified,Games,154996,5779,0.038729,13917.59,1506.81,0.121411,286874.0,-18646.0,-0.06103,Sports,Arcade Sports,2024/06/13,250657,7796078,$51060,$599280,Active
Wrestling Games 2023,63c1ff2bc18c18264a49dbe6,SlayerStudio,63634db2700b1f60a4adf34c,2026-01-12,Unified,Games,140503,-13783,-0.089334,0.0,0.0,,601275.0,5342.0,0.008964,Action,Fighting,2023/02/28,227341,6544445,$0,$0,
Pipa Combate,55de062102ac6453fd07b048,Maiworm Digital Strategy,5629563d3f07e28dd10226ed,2026-01-12,Unified,Games,136976,11045,0.087707,0.0,0.0,,155468.0,-16067.0,-0.093666,Simulation,Simulator,2015/05/04,147146,83194000,$0,$0,
Real Cricket 20,5a98786f58fe42154a32413c,Nautilus Mobile,55f8963c8ac350426b0461a4,2026-01-12,Unified,Games,130594,-886,-0.006739,1482.18,91.62,0.065887,365174.0,4779.0,0.01326,Sports,Realistic Sports,2018/04/04,478416,64591231,$182154,$2522095,
Golf Battle,5b75fb79d5a7dd601c8feb8c,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,129302,19616,0.178838,145272.13,46260.6,0.467224,517943.0,-21685.0,-0.040185,Sports,Arcade Sports,2018/08/16,17075241,129184836,$26165152,$52082500,Active
Basketball Stars: Multiplayer,56ba802902ac645ea90000bd,Miniclip,65670b56ad4adb650837a435,2026-01-12,Unified,Games,125557,-12407,-0.089929,29473.65,2718.78,0.101618,104909.0,3224.0,0.031706,Sports,Arcade Sports,2016/02/03,31168140,156321756,$12992772,$23249904,Inactive (< last 28 Days)
